paragraph,company,are_they_making_money_off_the_data,can_they_access_other_data_on_your_phone_without_your_permission,can_they_track_your_search_history_outside_of_the_service,can_you_opt_out_of_sections_of_the_policy,conscientious,text_addresses_questions,do_they_protect_information_about_children,do_they_sell_demographic_information,do_they_sell_geolocation_data,do_they_sell_your_data_to_just_anyone,do_they_sell_your_data_to_trusted_3rd_parties,do_you_own_the_pictures_you_post,if_you_delete_your_account_is_your_data_deleted,is_data_provided_to_law_enforcement,is_your_sensitive_financial_data_protected,text_addresses_questions,text_doesnt_address_questions,will_this_company_use_your_data_in_advertising
"Third-Parties and Affiliates: Twitter uses a variety of third-party services to help provide our Services, such as hosting our various blogs and wikis, and to help us understand and improve the use of our Services, such as Google Analytics. These third-party service providers may collect information sent by your device as part of a web page request, such as cookies or your IP address. Third-party ad partners may share information with us, like a browser cookie ID, website URL visited, mobile device ID, or cryptographic hash of a common account identifier (such as an email address), to help us measure and tailor ads. For example, this allows us to display ads about things you may have already shown interest in off of our Services. If you prefer, you can turn off tailored ads in your privacy settings so that your account will not be matched to information shared by ad partners for tailoring ads. Learn more about your privacy options for tailored ads here and about how ads work on our Services here. We may also receive information about you from our corporate affiliates in order to help provide, understand, and improve our Services and our affiliates’ services, including the delivery of ads.",Twitter,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"SHARING OF YOUR INFORMATION
We also may share your information as well as information from tools like cookies, log files, and device identifiers and location data, with third-party organizations that help us provide the Service to you (""Service Providers""). Our Service Providers will be given access to your information as is reasonably necessary to provide the Service under reasonable confidentiality terms.
We may also share certain information such as cookie data with third-party advertising partners. This information would allow third-party ad networks to, among other things, deliver targeted advertisements that they believe will be of most interest to you.
We may remove parts of data that can identify you and share anonymized data with other parties. We may also combine your information with other information in a way that it is no longer associated with you and share that aggregated information.",Instagram,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Maybe
"ChildrenWe understand the importance of taking extra precautions to protect the privacy and safety of children using Apple products and services. Accordingly, we do not knowingly collect, use or disclose personal information from children under 13, or equivalent minimum age in the relevant jurisdiction, without verifiable parental consent. If we learn that we have collected the personal information of a child under 13, or equivalent minimum age depending on jurisdiction, without first receiving verifiable parental consent we will take steps to delete the information as soon as possible.",Apple,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
"Cookies and Other TechnologiesAppleís websites, online services, interactive applications, email messages, and advertisements may use ìcookiesî and other technologies such as pixel tags and web beacons. These technologies help us better understand user behavior, tell us which parts of our websites people have visited, and facilitate and measure the effectiveness of advertisements and web searches. We treat information collected by cookies and other technologies as non_personal information. However, to the extent that Internet Protocol (IP) addresses or similar identifiers are considered personal information by local law, we also treat these identifiers as personal information. Similarly, to the extent that non-personal information is combined with personal information, we treat the combined information as personal information for the purposes of this Privacy Policy.",Apple,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Service Providers

We contract with other companies to provide services on our behalf, including credit-card and billing processing, ad serving, shipping, email distribution, list processing and analytics or promotions management. We provide these companies only with the information they need to perform their services. These service providers are restricted from using personal information in any way other than to provide services for The New York Times, and they may not share, resell or use the data for their own direct marketing purposes.

We reserve the right to disclose your opt-out information to third parties so they can suppress your name from future solicitations, in accordance with applicable laws. We may occasionally release personal information as required by law, for example, to comply with a court order or subpoena. (For more information, see the ""Compliance with Legal Process"" section of this policy.)",NY Times,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No
"Apple and its partners use cookies and other technologies in mobile advertising services to control the number of times you see a given ad, deliver ads that relate to your interests, and measure the effectiveness of ad campaigns. If you do not want to receive ads with this level of relevance on your mobile device, you can opt out by accessing the following link on your device: http://oo.apple.com. Alternatively, if you are using the iOS 6 operating system or later on your mobile device, you may opt out by selecting Limit Ad Tracking. If you opt out, you will continue to receive the same number of mobile ads, but they may be less relevant because they will not be based on your interests. You may still see ads related to the content on a web page or in an application or based on other non-personal information. Opting out through oo.apple.com applies only to Apple advertising services and does not affect interest-based advertising from other advertising networks. However, if you select Limit Ad Tracking on your mobile device, third-party apps are not permitted by contract to use the Advertising Identifier, a non-personal device identifier to serve you targeted ads.",Apple,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Your California Privacy Rights

Under the California “Shine The Light” law, California residents may opt-out of the NYT’s disclosure of personal information to third parties for their direct marketing purposes. As detailed above, you may choose to opt-out of the sharing of your personal information with third parties for marketing purposes at any time by submitting a request in writing to Customer Care, P.O. Box 8041, Davenport, IA 52808-8041 or by emailing us at opt-out@nytimes.com. It is important to note that this opt-out does not prohibit disclosures made for non-marketing purposes.

Changes to This Policy

This Privacy Policy may be amended from time to time. Any such changes will be posted on this page. If we make a significant or material change in the way we use your personal information, the change will be posted on this page thirty (30) days prior to taking effect and registered users will be notified via email.",NY Times,No,No,No,Yes,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"Analytics, Log Files and Reading History

As is true of most web sites, we gather certain information automatically and store it in log files. This information may include Internet protocol (IP) addresses (the region or general location where your computer or device is accessing the Internet), browser type, operating system and other usage information about the use of the NYT Services, including a history of the pages you view.

We may combine this automatically collected log information with other information we collect about you. We do this to improve services we offer you, including customized Recommendations, advertising and currency display, to improve marketing, and to track access and use of the NYT Services across the devices that you use to access the NYT Services.",NY Times,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,Yes
"Our Policy Towards Children
Our Services are not directed to persons under 13. If you become aware that your child has provided us with personal information without your consent, please contact us here. We do not knowingly collect personal information from children under 13. If we become aware that a child under 13 has provided us with personal information, we take steps to remove such information and terminate the child’s account. You can find additional resources for parents and teens here.",Twitter,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
"Billing and Credit Card Information

To enable payment and donations via the NYT Services, we collect and store name, address, telephone number, email address, credit card information and other billing information. This information will only be shared with third parties who help to complete the purchase transaction. Examples of this include fulfilling orders and processing credit card payments.

Contests, Sweepstakes and Special Offers

The New York Times collects personal information from you when you participate in sweepstakes, contests or special offers. If this information is also being collected by a third party other than The New York Times, we will notify you at the same time. If you do not want any personal information shared, you should not participate in the sweepstakes, contest or special offer.",NY Times,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"How we use information we collect
Our automated systems analyze your content (including emails) to provide you personally relevant product features, such as
customized search results, tailored advertising, and spam and malware detection.
We may combine personal information from one service with information, including personal information, from other
Google services – for example to make it easier to share things with people you know. We will not combine DoubleClick
cookie information with personally identifiable information unless we have your opt­in consent.
We will ask for your consent before using information for a purpose other than those that are set out in this Privacy Policy.
Google processes personal information on our servers in many countries around the world. We may process your personal
information on a server located outside the country where you live.",Google,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"WHAT DO WE DO WITH THE INFORMATION WE GATHER ABOUT YOU?

Customizing Your Experience

We use the information that we collect to allow advertising to be targeted to the users for whom such advertising is most pertinent. We also use this information to customize certain features of the NYT Services to provide you with an enhanced experienced based on the type of device you are using to access the NYT Services, and in certain cases, provide you with requested services.

Relevant Advertising

We may use demographic and preference information to allow advertising on the NYT Service to be targeted to the users for whom they are most pertinent. This means users see advertising that is most likely to interest them, and advertisers send their messages to people who are most likely to be receptive, improving both the viewer's experience and the effectiveness of the ads. We disclose information to third parties only in aggregate or de-identified form.",NY Times,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes
"YOUR CHOICES ABOUT YOUR INFORMATION

Your account information and profile/privacy settings:

Update your account at any time by logging in and changing your profile settings.
Unsubscribe from email communications from us by clicking on the ""unsubscribe link"" provided in such communications. As noted above, you may not opt out of Service-related communications (e.g., account verification, purchase and billing confirmations and reminders, changes/updates to features of the Service, technical and security notices).
Learn more about reviewing or modifying your account information.
How long we keep your User Content:

Following termination or deactivation of your account, Instagram, its Affiliates, or its Service Providers may retain information (including your profile information) and User Content for a commercially reasonable time for backup, archival, and/or audit purposes.
Learn more about deleting your account.",Instagram,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"International UsersAll the information you provide may be transferred or accessed by entities around the world as described in this Privacy Policy. Apple abides by the ìsafe harborî frameworks set forth by the U.S. Department of Commerce regarding the collection, use, and retention of personal information collected by organizations in the European Economic Area and Switzerland. Learn more about the U.S. Department of Commerce Safe Harbor Program.Please note that personal information, including the information provided when using iCloud, regarding individuals who reside in a member state of the European Economic Area (EEA) and Switzerland is controlled by Apple Distribution International in Cork, Ireland, and processed on its behalf by Apple Inc. Personal information collected in the EEA and Switzerland when using iTunes is controlled by iTunes SARL in Luxembourg and processed on its behalf by Apple Inc.",Apple,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
